n_samples,total,per_proc,max_proc,time
1,30,30,30,0.3648049831390381
2,34,34,34,0.6192920207977295
4,42,42,42,1.1373319625854492
8,58,58,58,2.1337690353393555
16,89,89,89,4.189480781555176
32,151,151,151,8.352445840835571
64,276,276,276,16.43524193763733
128,519,519,519,33.07710099220276
256,1012,1012,1012,64.08910202980042
512,1995,1995,1995,127.08828616142273
1024,3940,3940,3940,250.74440598487854
