n_samples,total,per_proc,max_proc,time
1,30,30,30,0.36278295516967773
2,32,32,32,0.6893060207366943
4,36,36,36,1.3220629692077637
8,38,38,38,2.570723056793213
16,45,45,45,5.096953868865967
32,55,55,55,10.262857913970947
64,59,59,59,20.386226892471313
128,59,59,59,40.747596979141235
256,63,63,63,79.57396292686462
512,66,66,66,158.8114788532257
1024,62,62,62,306.28663897514343
