n_samples,total,per_proc,max_proc,time
16,512,32.0,33,0.6705188751220703
32,584,36.5,38,1.0208449363708496
64,722,45.125,46,1.7540040016174316
128,982,61.375,62,3.2974798679351807
256,1478,92.375,93,6.3784308433532715
512,2459,153.6875,155,12.461891889572144
1024,4409,275.5625,277,26.02690100669861
2048,8304,519.0,520,50.03187108039856
4096,16087,1005.4375,1007,98.43166399002075
8192,21121,1320.0625,1324,200.48106288909912
16384,13349,834.3125,1041,501.41233086586
