n_samples,total,per_proc,max_proc,time
1,30,30,30,0.36344194412231445
2,30,30,30,0.5568630695343018
4,30,30,30,0.8897368907928467
8,30,30,30,1.6229169368743896
16,31,31,31,3.0127217769622803
32,31,31,31,5.883137941360474
64,33,33,33,11.577429056167603
128,34,34,34,23.33876895904541
256,34,34,34,45.907341957092285
512,34,34,34,89.71110701560974
1024,34,34,34,176.92239499092102
