n_samples,total,per_proc,max_proc,time
16,507,31.6875,33,0.6352839469909668
32,597,37.375,39,1.1113300323486328
64,727,45.4375,47,2.0426180362701416
128,863,53.9375,57,3.7945549488067627
256,987,61.6875,64,7.441755056381226
512,1049,65.5625,67,14.759098052978516
1024,1112,69.5,71,29.56087303161621
2048,1171,73.1875,75,58.06931805610657
