n_samples,n_ranks,total,per_proc,max_proc,time
128,1,82,82.0,82,68.01122546195984
128,2,159,79.5,80,34.3258273601532
128,4,313,78.25,79,17.468914031982422
128,8,636,79.5,81,9.652034759521484
128,16,1282,80.125,82,5.731607437133789
128,32,2552,79.75,82,5.453470468521118
