n_samples,n_ranks,total,per_proc,max_proc,time
128,16,1263,78.9375,80,5.835604906082153
256,16,1267,79.1875,81,9.439418315887451
512,16,1266,79.125,81,17.326808214187622
1024,16,1257,78.5625,82,32.60160708427429
2048,16,1263,78.9375,81,63.83435797691345
4096,16,1273,79.5625,82,127.00956773757935
