n_samples,n_ranks,total,per_proc,max_proc,time
128,1,82,82,82,67.96935248374939
256,1,83,83,83,136.4569284915924
512,1,83,83,83,272.3572793006897
1024,1,83,83,83,545.751003742218
2048,1,80,80,80,1087.9769825935364
4096,1,82,82,82,2170.350039243698
