n_samples,n_ranks,total,per_proc,max_proc,time
128,1,608,608,608,68.37165570259094
256,1,1141,1141,1141,136.89489078521729
512,1,2208,2208,2208,274.31463408470154
1024,1,4335,4335,4335,547.778156042099
2048,1,8594,8594,8594,1089.4988420009613
4096,1,17113,17113,17113,2178.674170732498
