,n_ranks,n_samples,mem_total,mem_per_proc,mem_max_proc,run_time,run_time_min,run_time_max
0,1,4,93,93.0,93,2.0637397863333335,1.937063261,2.128209285
1,2,8,184,92.0,92,2.0782376730000003,1.944314467,2.14669716
2,4,16,368,92.0,93,2.0893977576666667,1.945957367,2.167190454
3,8,32,733,91.625,95,2.09126564,1.96044449,2.16030326
4,16,64,1472,92.0,94,2.122462577,1.994554816,2.215850851
5,32,128,2932,91.625,94,2.1138227843333333,1.981667934,2.181152493
6,64,256,5864,91.625,95,2.338052166,2.284342342,2.37833219
