n_samples,n_ranks,total,per_proc,max_proc,time
1000.0,1,75,75.0,75,2.0481367111206055
1000.0,2,147,73.5,74,1.2045483589172363
1000.0,4,296,74.0,76,0.9054164886474609
1000.0,8,591,73.875,75,1.0587258338928223
1000.0,16,1195,74.6875,76,1.6742706298828125
1000.0,32,2374,74.1875,77,3.172595977783203
1000.0,64,4778,74.65625,77,6.101694822311401
1000.0,128,9685,75.6640625,79,14.082365989685059
