n_samples,n_ranks,total,per_proc,max_proc,time
128,1,80,80,80,62.28215932846069
256,1,80,80,80,124.16616797447205
512,1,81,81,81,247.52555394172668
1024,1,81,81,81,496.41388177871704
2048,1,81,81,81,989.4722709655762
4096,1,81,81,81,1974.7890400886536
